                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.0672,                 1.3419,                0.79173,                 1.0282,                0.87847,                0.66568,                0.74663,                0.56309,                0.83827,                0.63842,                0.68066,                0.38268,                 1.0349,                 1.8006,                 1.2037,                 1.0725,             0.00040521,             0.00040521,             0.00040521
                     45,                 1.0041,                 1.3449,                0.77475,                 1.0089,                0.91141,                0.65849,                0.79567,                 0.5986,                0.89038,                0.64004,                0.75474,                0.38786,                 1.0059,                 1.6759,                 1.1249,                 1.0561,             0.00040965,             0.00040965,             0.00040965
                     46,                0.98245,                 1.3476,                0.78862,                 1.0077,                0.91141,                0.65849,                0.79567,                 0.5986,                0.89038,                0.64004,                0.75474,                0.38786,                 1.0059,                 1.6759,                 1.1249,                 1.0561,             0.00041387,             0.00041387,             0.00041387
                     47,                0.97735,                 1.3667,                0.81524,                 1.0058,                0.86943,                0.70993,                0.84576,                0.65062,                0.83673,                0.68199,                0.77474,                0.40142,                 1.0464,                 1.6991,                 1.0351,                  1.069,             0.00041786,             0.00041786,             0.00041786
                     48,                0.96755,                 1.2869,                0.74952,                0.99142,                0.86943,                0.70993,                0.84576,                0.65062,                0.83673,                0.68199,                0.77474,                0.40142,                 1.0464,                 1.6991,                 1.0351,                  1.069,             0.00042162,             0.00042162,             0.00042162
                     49,                 1.0411,                 1.3792,                0.76702,                0.99202,                 0.8075,                0.82481,                0.87307,                0.68489,                0.77452,                 0.7959,                 0.8221,                0.42157,                0.99461,                 1.5762,                 1.0253,                 1.0509,             0.00042516,             0.00042516,             0.00042516
                     50,                0.92243,                 1.3232,                0.70641,                0.98046,                 0.8075,                0.82481,                0.87307,                0.68489,                0.77452,                 0.7959,                 0.8221,                0.42157,                0.99461,                 1.5762,                 1.0253,                 1.0509,             0.00042847,             0.00042847,             0.00042847
                     51,                 0.9214,                 1.2945,                0.75951,                 1.0273,                0.92107,                0.81695,                0.88675,                0.70353,                0.90041,                0.80041,                0.85072,                0.45838,                0.94446,                 1.4277,                0.96046,                 1.0216,             0.00043156,             0.00043156,             0.00043156
                     52,                0.95809,                 1.2647,                0.72233,                 1.0081,                0.92107,                0.81695,                0.88675,                0.70353,                0.90041,                0.80041,                0.85072,                0.45838,                0.94446,                 1.4277,                0.96046,                 1.0216,             0.00043442,             0.00043442,             0.00043442
                     53,                0.98011,                 1.2941,                0.74595,                 1.0095,                0.92107,                0.81695,                0.88675,                0.70353,                0.90041,                0.80041,                0.85072,                0.45838,                0.94446,                 1.4277,                0.96046,                 1.0216,             0.00043705,             0.00043705,             0.00043705
